Date,USD,HUF,UAH,BTC,ETH
1999-01-04,1.1789,251.48,3.998452,,
1999-01-05,1.179,250.8,4.04009,,
1999-01-06,1.1743,250.67,4.040433,,
1999-01-07,1.1632,250.09,4.024326,,
1999-01-08,1.1659,250.15,4.024326,,
1999-01-09,1.1659,250.15,4.024326,,
1999-01-10,1.1659,250.15,4.024326,,
1999-01-11,1.1569,249.7,3.995539,,
1999-01-12,1.152,249.2,3.964696,,
1999-01-13,1.1744,255.01,3.947904,,
1999-01-14,1.1653,253.84,4.024669,,
1999-01-15,1.1626,253.34,3.993483,,
1999-01-16,1.1626,253.34,3.98423,,
1999-01-17,1.1626,253.34,3.98423,,
1999-01-18,1.1612,250.78,3.98423,,
1999-01-19,1.1616,250.64,3.979432,,
1999-01-20,1.1575,249.99,3.980803,,
1999-01-21,1.1572,250.17,3.966753,,
1999-01-22,1.1567,250.16,3.965724,,
1999-01-23,1.1567,250.16,3.964011,,
1999-01-24,1.1567,250.16,3.964011,,
1999-01-25,1.1584,250.47,3.964011,,
1999-01-26,1.1582,250.69,3.969837,,
1999-01-27,1.1529,250.08,3.969151,,
1999-01-28,1.141,249.34,3.950988,,
1999-01-29,1.1384,249.24,3.910207,,
1999-01-30,1.1384,249.24,3.901297,,
1999-01-31,1.1384,249.24,3.901297,,
1999-02-01,1.1338,248.97,3.901297,,
1999-02-02,1.1337,248.99,3.885533,,
1999-02-03,1.1337,249,3.88519,,
1999-02-04,1.1263,248.77,3.88519,,
1999-02-05,1.1292,248.91,3.85983,,
1999-02-06,1.1292,248.91,3.869768,,
1999-02-07,1.1292,248.91,3.869768,,
1999-02-08,1.1246,248.64,3.869768,,
1999-02-09,1.1333,249.75,3.854004,,
1999-02-10,1.1342,251.05,3.883819,,
1999-02-11,1.1312,249.64,3.886903,,
1999-02-12,1.1244,249.32,3.882278,,
1999-02-13,1.1244,249.32,3.858941,,
1999-02-14,1.1244,249.32,3.858941,,
1999-02-15,1.1238,249.66,3.858941,,
1999-02-16,1.1176,249.56,3.869243,,
1999-02-17,1.1253,251.09,3.847897,,
1999-02-18,1.1232,252.06,3.896914,,
1999-02-19,1.1163,251.88,3.912106,,
1999-02-20,1.1163,251.88,3.910399,,
1999-02-21,1.1163,251.88,3.910399,,
1999-02-22,1.0992,250.12,3.910399,,
1999-02-23,1.0969,249.9,3.872482,,
1999-02-24,1.1037,252.23,3.886317,,
1999-02-25,1.1031,252.56,3.932483,,
1999-02-26,1.1018,253.91,3.952407,,
1999-02-27,1.1018,253.91,3.969785,,
1999-02-28,1.1018,253.91,3.969785,,
1999-03-01,1.0986,254.53,3.969785,,
1999-03-02,1.0887,252.14,3.980228,,
1999-03-03,1.0899,254.02,3.966134,,
1999-03-04,1.0866,254.62,3.992304,,
1999-03-05,1.0834,253.16,4.001948,,
1999-03-06,1.0834,253.16,4.01183,,
1999-03-07,1.0834,253.16,4.01183,,
1999-03-08,1.0908,250.51,4.01183,,
1999-03-09,1.0863,250.34,4.01183,,
1999-03-10,1.0953,252.83,4.035605,,
1999-03-11,1.0891,252.87,4.079992,,
1999-03-12,1.0932,253.34,4.064521,,
1999-03-13,1.0932,253.34,4.085288,,
1999-03-14,1.0932,253.34,4.085288,,
1999-03-15,1.0949,253.46,4.085288,,
1999-03-16,1.0901,253.66,4.10259,,
1999-03-17,1.0966,253.81,4.090055,,
1999-03-18,1.1012,254.6,4.119926,,
1999-03-19,1.0915,253.64,4.142714,,
1999-03-20,1.0915,253.64,4.128162,,
1999-03-21,1.0915,253.64,4.128162,,
1999-03-22,1.0864,253.25,4.128162,,
1999-03-23,1.0896,254.12,4.146028,,
1999-03-24,1.0928,256.11,4.213374,,
1999-03-25,1.0898,255.25,4.272192,,
1999-03-26,1.0815,253.9,4.277356,,
1999-03-27,1.0815,253.9,4.251917,,
1999-03-28,1.0815,253.9,4.251917,,
1999-03-29,1.0692,253.96,4.251917,,
1999-03-30,1.0711,254.89,4.206233,,
1999-03-31,1.0742,254.82,4.215421,,
1999-04-01,1.0772,254.41,4.217739,,
1999-04-02,1.0772,253.97,4.23555,,
1999-04-03,1.0772,253.97,4.240506,,
1999-04-04,1.0772,253.97,4.240506,,
1999-04-05,1.0752,253.3,4.240506,,
1999-04-06,1.0726,253.16,4.23532,,
1999-04-07,1.0812,254.12,4.226151,,
1999-04-08,1.0818,253.53,4.261442,,
1999-04-09,1.0778,253.33,4.263807,,
1999-04-10,1.0778,253.33,4.246209,,
1999-04-11,1.0778,253.33,4.246209,,
1999-04-12,1.0867,254.82,4.246209,,
1999-04-13,1.0765,253.69,4.246209,,
1999-04-14,1.0787,253.67,4.241518,,
1999-04-15,1.0786,253.65,4.250617,,
1999-04-16,1.0668,252.68,4.24936,,
1999-04-17,1.0668,252.68,4.196364,,
1999-04-18,1.0668,252.68,4.196364,,
1999-04-19,1.0636,251.52,4.196364,,
1999-04-20,1.0646,251.27,4.181862,,
1999-04-21,1.0586,250.21,4.185475,,
1999-04-22,1.0581,249.49,4.15871,,
1999-04-23,1.0634,251.6,4.155053,,
1999-04-24,1.0634,251.6,4.17544,,
1999-04-25,1.0634,251.6,4.174589,,
1999-04-26,1.0614,250.7,4.174589,,
1999-04-27,1.063,250.74,4.168755,,
1999-04-28,1.0666,251.27,4.1727,,
1999-04-29,1.0604,250.58,4.187685,,
1999-04-30,1.0597,250.52,4.161434,,
1999-05-01,1.0597,250.52,4.159323,,
1999-05-02,1.0597,250.52,4.159323,,
1999-05-03,1.0589,250.02,4.159323,,
1999-05-04,1.0564,249.5,4.159323,,
1999-05-05,1.0667,250.19,4.159323,,
1999-05-06,1.0799,250.6,4.185624,,
1999-05-07,1.0786,251.55,4.237636,,
1999-05-08,1.0786,251.55,4.231564,,
